-,repair_cost-,repair_time-parallel,repair_time-sequential
6500,2578381.398685247,738.6129140726986,1883.6928652976198
6501,21600000.0,12500.0,12500.0
6502,1468799.8615470615,384.97419005764,1046.002515482818
6503,2173187.5126672233,624.2643960196297,1527.6316035023324
6504,462157.89623243717,140.37371728446476,353.1903298074101
6505,1502130.1429906415,448.17169478701976,1054.8534850026601
6506,2129924.399630736,599.716123973899,1506.3455824168675
6507,2836846.2433958687,846.9026053515563,2084.4610057457526
6508,366263.36527016456,122.9145209665258,290.231796845074
6509,1099807.5139290122,319.38349006407157,768.3417877255389
6510,2199648.964291527,609.019968119429,1583.330639493312
6511,21600000.0,12500.0,12500.0
6512,1739543.6066760623,462.5473497189691,1227.0830569399413
6513,2063037.2909269605,606.4054758934935,1455.6548545735418
6514,1933247.7050900152,543.7527880714542,1388.8214463096422
6515,21600000.0,12500.0,12500.0
6516,21600000.0,12500.0,12500.0
6517,1387001.7300037574,456.4167009575099,961.4667666602459
6518,21600000.0,12500.0,12500.0
6519,1465671.6959063879,429.7395558855278,1012.0405898286261
6520,927668.445894698,224.21304060047933,640.6608627562357
6521,514088.611300752,181.77285651425026,397.4740314270404
6522,2019452.05291982,513.3485850582208,1452.909082706155
6523,672051.5952352609,236.02327537432313,509.70606423216447
6524,1272693.5972698897,384.5985071871277,885.477412264325
6525,780440.940384795,233.49326222698923,615.2141000004772
6526,2216703.268371527,552.1625625592904,1574.5832849747092
6527,3501742.431403385,892.9356886703874,2631.1917782682767
6528,21600000.0,12500.0,12500.0
6529,300487.16917620157,97.39493769506609,238.29079097813715
6530,21600000.0,12500.0,12500.0
6531,1843564.8414100383,468.97880432888604,1299.03100420253
6532,2126931.349159393,511.5214654437611,1505.842181091725
6533,903940.1911511946,296.93931316773376,659.0569024776815
6534,2352868.0673153196,699.8392012270336,1691.2333561226726
6535,3115174.567415365,859.9035626487992,2320.5683473460635
6536,2274414.807494701,612.7779955727505,1623.8227166580957
6537,3050409.3983832733,870.7055382227309,2246.6037120794845
6538,551603.7139829333,230.56503970997593,425.24914454610706
6539,1028182.1598738602,287.2722749644661,705.3536074624117
6540,21600000.0,12500.0,12500.0
6541,2318189.6024070336,715.397940479596,1676.7694777135475
6542,1924456.3502947893,516.3293948449984,1379.1571158015638
6543,332513.8293860269,121.31945767487382,264.79346764062024
6544,2617584.948905645,681.8498272320495,1918.0217068349525
6545,2088614.7160680601,645.2465762098036,1518.9670882420235
6546,900960.9290240008,293.95228792793694,645.9489255486998
6547,21600000.0,12500.0,12500.0
